Subject	Run	TrialNum 	 CueOnset 	 TargetOnset 	 ResponseTime 	 TargetStream 	 StimCat 	 Correct 	 ResponseChar 	 CueType 	 NumSeed/StartSide 	 Context
6	2	37	340.0008941	340.2508723	1.041303406	1	1	1	54	1	0	0
6	2	38	350.0009071	350.2509125	1.401928333	1	2	1	49	1	0	0
6	2	39	358.0009282	358.2509288	0.777714285	1	2	0	54	1	0	0
6	2	40	366.0009412	366.2509408	0.823718381	1	2	1	49	1	0	0
6	2	41	374.0009536	374.2509568	0.626551413	2	1	1	54	2	0	1
6	2	42	382.000969	382.2509695	1.187476398	1	2	1	49	2	0	0
6	2	43	392.0009892	392.2509894	0.77024486	2	1	1	54	2	0	0
6	2	44	402.0010088	402.2510057	0.831119885	2	1	1	54	1	0	0
6	2	45	412.0010239	412.2510263	0.821873665	1	1	0	49	2	0	0
6	2	46	420.0010408	420.2510396	1.250102258	2	1	1	54	2	0	0
6	2	47	428.0010583	428.2510547	0.919469437	1	1	1	54	2	0	0
6	2	48	436.0010689	436.2510719	0.870270066	2	1	1	54	2	0	0
6	2	49	444.0010671	444.2510879	0.686167045	2	1	1	54	1	0	0
6	2	50	452.0010997	452.2510987	0.906151619	1	2	1	49	2	0	0
6	2	51	462.0011181	462.251115	0.723814828	2	2	1	49	2	0	0
6	2	52	470.0011118	470.251138	0.784679892	1	2	1	49	2	0	0
6	2	53	480.0011501	480.2511494	1.905389402	1	2	1	49	1	0	0
6	2	54	490.001167	490.2511682	0.950354469	2	2	1	49	2	0	0
6	2	55	498.001183	498.2511832	0.893061712	2	1	0	49	1	0	0
6	2	56	508.0012014	508.2512032	1.826924824	1	2	1	49	2	0	0
6	2	57	518.0012256	518.251221	0.941889785	1	1	1	54	1	0	0
6	2	58	526.0012371	526.2512349	1.000510157	2	2	1	49	2	0	0
6	2	59	536.0012404	536.2512569	0.84534542	1	2	1	49	2	0	0
6	2	60	546.0012817	546.251272	0.712093289	2	2	1	49	2	0	0
6	3	1	16.00812297	16.25809633	0.955728325	2	2	1	49	1	2110590000	2
6	3	2	26.00814259	26.25813104	1.642200558	2	1	1	54	1	21	0
6	3	3	34.00814953	34.25814584	0	2	2	0	0	1	3	0
